,corn,wheat
1145,3,3
1146,0,1
1147,3,3
1148,2,2
1149,1,1
1150,0,0
1151,1,1
1152,2,2
1153,0,0
1154,2,2
1155,2,3
1156,2,2
1157,3,4
1158,2,3
1159,0,1
1160,3,3
1161,1,1
1162,2,2
1163,2,2
1164,0,1
1165,1,1
1166,1,1
1167,2,3
1168,2,2
1169,3,3
1170,2,2
1171,1,1
1172,3,3
1173,1,2
1174,1,2
1175,1,2
1176,2,2
1177,3,3
1178,3,3
1179,2,2
1180,1,2
1181,3,4
1182,1,1
1183,3,3
1184,2,2
1185,3,3
1186,2,2
1187,2,2
1188,0,0
1189,1,2
1190,3,3
1191,1,1
1192,1,1
1193,2,2
1194,0,0
1195,1,1
1196,1,1
1197,0,1
1198,1,1
1199,1,1
1200,2,2
1201,2,2
1202,1,1
1203,1,1
1204,1,1
1205,3,3
1206,1,1
1207,1,2
1208,1,2
1209,1,2
1210,2,2
1211,2,3
1212,1,2
1213,1,1
1214,2,2
1215,1,2
1216,1,2
1217,2,2
1218,1,1
1219,1,2
1220,0,0
1221,2,3
1222,1,1
1223,3,3
1224,1,1
1225,2,2
1226,2,2
1227,1,2
1228,2,2
1229,1,1
1230,3,3
1231,3,3
1232,1,1
1233,0,1
1234,1,2
1235,1,1
1236,3,3
1237,2,2
1238,2,2
1239,0,1
1240,0,1
1241,3,3
1242,2,3
1243,3,3
1244,1,1
1245,3,3
1246,1,1
1247,1,1
1248,1,1
1249,0,0
1250,2,2
1251,3,3
1252,1,2
1253,2,3
1254,0,1
1255,1,2
1256,2,2
1257,2,3
1258,2,2
1259,1,2
1260,1,2
1261,3,3
1262,1,2
1263,0,1
1264,3,4
1265,1,1
1266,3,3
1267,2,3
1268,2,2
1269,0,1
1270,2,2
1271,1,2
1272,1,2
1273,1,2
1274,1,1
1275,0,1
1276,2,2
1277,3,3
1278,1,2
1279,0,1
1280,0,1
1281,2,3
1282,1,2
1283,1,2
1284,1,2
1285,1,1
1286,1,2
1287,1,1
1288,1,2
1289,1,2
1290,3,3
1291,1,1
1292,3,3
1293,1,2
1294,1,2
1295,2,3
1296,2,3
1297,1,2
1298,1,2
1299,0,1
1300,1,1
1301,1,2
1302,1,2
1303,2,2
1304,2,2
1305,2,2
1306,1,2
1307,1,2
1308,2,2
1309,3,3
1310,1,1
1311,1,1
1312,2,2
1313,1,2
1314,2,2
1315,1,1
1316,1,2
1317,2,3
1318,2,3
1319,3,3
1320,1,2
1321,2,3
1322,1,1
1323,1,2
1324,3,3
1325,0,1
1326,0,1
1327,0,1
1328,3,3
1329,0,1
1330,3,3
1331,2,3
1332,2,2
1333,3,3
1334,2,2
1335,1,1
1336,0,1
1337,2,3
1338,1,2
1339,2,2
1340,1,2
1341,2,2
1342,2,2
1343,1,1
1344,3,3
1345,1,1
1346,2,2
1347,1,2
1348,2,2
1349,2,2
1350,1,2
1351,1,1
1352,3,3
1353,1,2
1354,1,2
1355,1,1
1356,1,1
1357,2,2
1358,3,3
1359,1,2
1360,1,1
1361,0,1
1362,2,2
1363,2,2
1364,1,2
1365,3,3
1366,1,2
1367,3,3
1368,3,3
1369,1,2
1370,1,1
1371,1,1
1372,1,1
1373,3,3
1374,1,2
1375,3,3
1376,1,2
1377,1,2
1378,0,1
1379,1,2
1380,1,2
1381,0,1
1382,0,1
1383,2,2
1384,2,2
1385,2,2
1386,1,1
1387,2,3
1388,0,1
1389,1,2
1390,1,2
1391,2,2
1392,0,1
1393,2,2
1394,3,3
1395,3,3
1396,0,0
1397,0,1
1398,0,1
1399,2,2
1400,3,3
1401,2,2
1402,2,2
1403,2,3
1404,2,2
1405,2,2
1406,2,2
1407,2,2
1408,3,3
1409,0,1
1410,0,1
1411,1,1
1412,0,1
1413,0,1
1414,1,1
1415,1,1
1416,2,2
1417,1,1
1418,3,3
1419,1,1
